# pan fit converged
# residual standard error = 1567.01
~ pangenes(g) == "4922" + "570.6" * (g - 1) + "2180" ~ exp(frac(-2, "3.80")) frac(1 - exp(frac(-(g - 1), "3.80")), 1 - exp(frac(-1, "3.80"))) 
# fitted values (genomes, genes) :
1	4922.1
2	6779.9
3	8339.6
4	9670.3
5	10824.9
6	11844.2
7	12759.6
8	13595.1
9	14369.3
10	15096.3
11	15787.1
12	16450.0
13	17091.6
14	17716.7
15	18329.2
16	18932.0
17	19527.3
18	20116.9
19	20702.1
20	21283.9
21	21863.1
22	22440.3
23	23015.9
24	23590.4
25	24164.0
26	24736.9
27	25309.2
28	25881.2
29	26452.8
30	27024.2
31	27595.4
