# core_Tettelin fit converged
# residual standard error = 309.32
~ coregenes(g) == "1396" + "3627" exp(frac(-g, "3.86")) 
# fitted values (genomes, genes) :
1	4194.2
2	3554.9
3	3061.7
4	2681.1
5	2387.5
6	2161.0
7	1986.2
8	1851.3
9	1747.3
10	1667.0
11	1605.0
12	1557.2
13	1520.3
14	1491.9
15	1469.9
16	1453.0
17	1439.9
18	1429.8
19	1422.1
20	1416.1
21	1411.4
22	1407.9
23	1405.1
24	1403.0
25	1401.3
26	1400.1
27	1399.1
28	1398.3
29	1397.8
30	1397.3
31	1397.0
# core_Willenbrock fit converged
# residual standard error = 258.24
~ coregenes(g) == "1063" + "26605" exp(frac(-sqrt(sqrt(g)), "0.49")) 
# fitted values (genomes, genes) :
1	4525.6
2	3417.1
3	2880.5
4	2550.8
5	2323.9
6	2156.7
7	2027.8
8	1925.0
9	1841.0
10	1771.0
11	1711.7
12	1660.8
13	1616.6
14	1577.9
15	1543.7
16	1513.3
17	1486.1
18	1461.6
19	1439.4
20	1419.3
21	1400.9
22	1384.1
23	1368.6
24	1354.3
25	1341.1
26	1328.9
27	1317.5
28	1306.9
29	1297.0
30	1287.8
31	1279.1
